Zbiór witryn,Nazwa witryny,Nazwa listy,Nazwa przepływu pracy,Rodzaj przepływu pracy,Zmodyfikowane przez,Zmodyfikowane,Wersja,Ostatnia zapisana wersja,WebApplicationId,SiteId,Adres URL witryny,WorkflowUrl,WorkflowId,ListId,ListUrl,Liczba dni od ostatniej modyfikacji
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 06.05.2024 08:58:20),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,e6980844-11c4-4a6e-8166-0607a9aba1e5,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-27 14:04:24),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,9b3b94b6-4ca9-4c11-810a-09421721cd80,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-07-04 11:10:12),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,54bf8d28-a4c6-4f1f-9df2-09d3de7d88ce,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2023-02-21 11:24:37),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,86ee3417-3634-455b-9115-0e4d4d51d7b2,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-27 19:55:38),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,d2ad2364-1340-4ea8-a87b-0e6fb9d734a8,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-27 16:42:13),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,19b85d67-072b-45e0-8845-0ea511f431ea,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2023-02-06 09:24:34),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,7a7bd4f7-1680-464d-a296-108ecb45d6fb,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-26 13:13:03),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,ba390348-0817-410a-9f2f-160d3ff2af5c,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-27 10:48:34),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,63315952-aad3-49ae-af54-167fe828c2d1,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-26 15:12:48),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,65b222f2-0db6-4558-a7d7-16c14f7606f6,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-02-01 14:38:04),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,ec30df28-d329-4a99-a392-193cffe5a3e3,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-26 09:57:33),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,c9b776fd-9890-4caf-9a52-194e2e6e5ada,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-28 06:59:29),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,a6f42972-ae88-45c4-8185-1f58085b346b,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF004 (poprzednia wersja: 2021-09-08 14:27:14),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,b85eeffa-ce4e-4c18-a246-23105503ef93,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2024-04-16 12:46:10),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,02e9b14f-a080-4ff6-af3d-25e011dc022a,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF003 (poprzednia wersja: 2021-08-13 12:55:57),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,4085aed3-386d-4c31-804d-2762e2d9b467,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF004 - SIZCOM1,Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,19da6f41-43e0-4545-8c16-29f2995ba4d6,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-27 15:21:33),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,0ffe5274-4742-400e-b448-2ab745fb2c79,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF004 (poprzednia wersja: 2021-09-09 10:47:40),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,78f48366-ddf7-4bc5-aea6-2b1554859b7b,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-27 19:45:25),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,1628d7bd-e06f-4772-80cf-2c4fe31cba49,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-27 16:50:44),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,3804e195-33ec-4a0b-904d-2d886acadd6b,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-25 10:41:23),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,c40d0014-56e4-45b8-a300-2e5a7e74c057,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,a5e42b8b-0826-4651-a30f-2eee0670b9b1,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-27 09:35:57),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,bd4f37bb-1307-435f-aa06-2fd81258340d,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-26 15:01:53),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,b769f0b0-9300-4ba0-818f-32853b3edc4b,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF002,Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,b0d69401-1361-4837-9193-3297741473d4,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF002 (poprzednia wersja: 2021-09-10 08:27:12),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,2295764c-2f90-4863-872d-34aa665d5084,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,TST- NWF002 (poprzednia wersja: 2021-09-15 10:15:55),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,8156c9df-c513-4ef4-affe-35b4196e0355,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-27 08:51:08),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,e3588c14-fbac-43ec-9d66-388c39132d18,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-27 19:44:34),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,c0783493-a7a8-49aa-b94c-3ebce46d49f5,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF003,Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,fc208c82-ec6b-4833-a13e-3f6da93713fb,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-26 09:58:23),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,77723173-2406-44d2-bdad-40391a51fc82,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF003 (poprzednia wersja: 2021-08-13 09:44:51),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,d018cfd8-f63c-4df2-823f-4099edf2c284,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2023-03-01 08:30:52),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,ee4f72e5-221d-4179-8614-416fb153a50c,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2023-04-03 12:02:54),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,2d0464dc-847d-4095-96c7-417b9b7a3e81,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2023-01-23 08:41:11),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,92620c13-8bee-483e-a420-4291fc6ae541,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-27 13:26:03),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,e3861dda-3e4f-4ce4-a412-43425df9cf68,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-27 13:13:51),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,cad38db4-f536-4833-9bc6-43ede8ca6304,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF004 - SIZCOM1 (poprzednia wersja: 05.11.2021 10:39:39),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,4149cf5d-5118-40a6-8a3c-488ebc63c9da,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,TST- NWF002,Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,ced181e0-a4d1-483a-a417-495c0c316fcc,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2023-04-03 11:41:01),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,7005cf0f-b2e2-4f17-a3dd-4c6008e67073,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF006 - SIZCOM1 (NOWY) (poprzednia wersja: 2022-01-27 15:40:23),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,f934bc69-57c3-4176-b6fc-4c7bfbd42245,,,0
https://teams.sp.creditagricole/team/ITMM,System Informacji Zarządczej IT,,NWF002 (poprzednia wersja: 2021-09-16 10:50:09),Przepływ pracy witryny,,2026-09-25 12:15:12,1.0,1.0,,,https://teams.sp.creditagricole/team/ITMM,,6ff0768d-f660-4965-9902-52140f8932e4,,,0
